data;
set C_bar :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 ;
set C :=  49 50 51 52 53 65 67 68 58 59 54 55 56 57 60 61 66 62 63 64 ;
set R := 0 1 2 3 4 5 6 7 8 9 10 ;
set C_bar_r[0] :=  
1 2 3 ;
set C_bar_r[1] :=  
4 5 6 7 8 9 10 11 ;
set C_bar_r[2] :=  
12 13 14 15 16 ;
set C_bar_r[3] :=  
17 18 19 20 21 ;
set C_bar_r[4] :=  
22 23 24 25 26 ;
set C_bar_r[5] :=  
27 28 29 30 ;
set C_bar_r[6] :=  
31 32 33 34 ;
set C_bar_r[7] :=  
35 36 37 ;
set C_bar_r[8] :=  
38 39 40 41 42 ;
set C_bar_r[9] :=  
43 44 45 46 47 48 ;
set C_r[0] :=  
53 65 67 68 ;
set C_r[1] :=  
;
set C_r[2] :=  
58 59 ;
set C_r[3] :=  
54 55 56 57 60 61 ;
set C_r[4] :=  
;
set C_r[5] :=  
66 ;
set C_r[6] :=  
;
set C_r[7] :=  
;
set C_r[8] :=  
;
set C_r[9] :=  
62 63 64 ;
set C_r[10] :=  
49 50 51 52 ;
set S :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 ;
set S_u :=  0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 ;
set S_r[0] := 
39 ;
set S_r[1] := 
18 19 20 24 ;
set S_r[2] := 
27 ;
set S_r[3] := 
0 1 ;
set S_r[4] := 
24 25 ;
set S_r[5] := 
36 ;
set S_r[6] := 
15 ;
set S_r[7] := 
3 4 5 ;
set S_r[8] := 
26 48 49 ;
set S_r[9] := 
51 52 ;
set Rack :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 ;
param COST : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 :=
0 0 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
1 1 0 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
2 1 1 0 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
3 3 3 3 0 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
4 3 3 3 1 0 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
5 3 3 3 1 1 0 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
6 3 3 3 3 3 3 0 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
7 3 3 3 3 3 3 1 0 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
8 3 3 3 3 3 3 1 1 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
9 5 5 5 5 5 5 5 5 5 0 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
