data;
set C_bar :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 ;
set C :=  48 49 50 51 52 53 54 55 56 57 58 59 60 64 65 66 61 62 63 67 ;
set R := 0 1 2 3 4 5 6 7 8 9 10 ;
set C_bar_r[0] :=  
1 2 3 4 ;
set C_bar_r[1] :=  
5 6 7 8 9 10 ;
set C_bar_r[2] :=  
11 12 13 14 ;
set C_bar_r[3] :=  
15 16 17 18 19 20 ;
set C_bar_r[4] :=  
21 22 23 24 25 26 ;
set C_bar_r[5] :=  
27 28 29 30 31 ;
set C_bar_r[6] :=  
32 33 34 ;
set C_bar_r[7] :=  
35 36 37 38 39 40 ;
set C_bar_r[8] :=  
41 42 43 44 ;
set C_bar_r[9] :=  
45 46 47 ;
set C_r[0] :=  
;
set C_r[1] :=  
57 58 59 60 ;
set C_r[2] :=  
;
set C_r[3] :=  
;
set C_r[4] :=  
;
set C_r[5] :=  
;
set C_r[6] :=  
;
set C_r[7] :=  
64 65 66 ;
set C_r[8] :=  
61 62 63 ;
set C_r[9] :=  
67 ;
set C_r[10] :=  
48 49 50 51 52 53 54 55 56 ;
set S :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 ;
set S_u :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 ;
set S_r[0] := 
48 ;
set S_r[1] := 
27 28 ;
set S_r[2] := 
30 31 32 ;
set S_r[3] := 
48 49 ;
set S_r[4] := 
42 45 46 ;
set S_r[5] := 
51 52 ;
set S_r[6] := 
6 7 8 ;
set S_r[7] := 
15 24 25 26 ;
set S_r[8] := 
3 4 5 ;
set S_r[9] := 
42 43 ;
set Rack :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 ;
param COST : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 :=
0 0 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
1 1 0 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
2 1 1 0 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
3 3 3 3 0 1 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
4 3 3 3 1 0 1 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
5 3 3 3 1 1 0 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
6 3 3 3 3 3 3 0 1 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
7 3 3 3 3 3 3 1 0 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
8 3 3 3 3 3 3 1 1 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
9 5 5 5 5 5 5 5 5 5 0 1 1 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
