data;
set C_bar :=  ;
set C :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 ;
set R := 0 1 2 3 4 ;
set C_r[0] :=  
1 2 3 4 5 6 7 8 9 10 11 12 ;
set C_r[1] :=  
13 14 15 16 ;
set C_r[2] :=  
17 18 19 20 ;
set C_r[3] :=  
21 22 23 24 ;
set C_r[4] :=  
25 26 27 28 29 30 31 32 ;
set S :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;
set S_u :=  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;
set Rack :=  0 1 2 3 4 5 6 7 ;
param COST : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 :=
0 0 1 3 3 5 5 5 5 5 5 5 5 5 5 5 5 
1 1 0 3 3 5 5 5 5 5 5 5 5 5 5 5 5 
2 3 3 0 1 5 5 5 5 5 5 5 5 5 5 5 5 
3 3 3 1 0 5 5 5 5 5 5 5 5 5 5 5 5 
4 5 5 5 5 0 1 3 3 5 5 5 5 5 5 5 5 
5 5 5 5 5 1 0 3 3 5 5 5 5 5 5 5 5 
6 5 5 5 5 3 3 0 1 5 5 5 5 5 5 5 5 
7 5 5 5 5 3 3 1 0 5 5 5 5 5 5 5 5 
8 5 5 5 5 5 5 5 5 0 1 3 3 5 5 5 5 
9 5 5 5 5 5 5 5 5 1 0 3 3 5 5 5 5 
10 5 5 5 5 5 5 5 5 3 3 0 1 5 5 5 5 
11 5 5 5 5 5 5 5 5 3 3 1 0 5 5 5 5 
12 5 5 5 5 5 5 5 5 5 5 5 5 0 1 3 3 
13 5 5 5 5 5 5 5 5 5 5 5 5 1 0 3 3 
14 5 5 5 5 5 5 5 5 5 5 5 5 3 3 0 1 
15 5 5 5 5 5 5 5 5 5 5 5 5 3 3 1 0 
;
set S_rack[0] :=  
0 1 ;
set S_rack[1] :=  
2 3 ;
set S_rack[2] :=  
4 5 ;
set S_rack[3] :=  
6 7 ;
set S_rack[4] :=  
8 9 ;
set S_rack[5] :=  
10 11 ;
set S_rack[6] :=  
12 13 ;
set S_rack[7] :=  
14 15 ;
param CPU := 
0 28.0
1 28.0
2 28.0
3 28.0
4 44.0
5 44.0
6 28.0
7 28.0
8 28.0
9 28.0
10 56.0
11 56.0
12 28.0
13 28.0
14 56.0
15 56.0
;
param MEM := 
0 96.0
1 96.0
2 48.0
3 48.0
4 128.0
5 128.0
6 48.0
7 48.0
8 96.0
9 96.0
10 192.0
11 192.0
12 96.0
13 96.0
14 192.0
15 192.0
;
param DISK := 
0 96.0
1 96.0
2 48.0
3 48.0
4 128.0
5 128.0
6 48.0
7 48.0
8 96.0
9 96.0
10 192.0
11 192.0
12 96.0
13 96.0
14 192.0
15 192.0
;
param BDW_out := 
0 10.0
1 10.0
2 10.0
3 10.0
4 10.0
5 10.0
6 10.0
7 10.0
8 10.0
9 10.0
10 10.0
11 10.0
12 10.0
13 10.0
14 10.0
15 10.0
;
param BDW_in := 
0 10.0
1 10.0
2 10.0
3 10.0
4 10.0
5 10.0
6 10.0
7 10.0
8 10.0
9 10.0
10 10.0
11 10.0
12 10.0
13 10.0
14 10.0
15 10.0
;
param mem := 
1 8.0
2 8.0
3 8.0
4 8.0
5 8.0
6 8.0
7 8.0
8 8.0
9 8.0
10 8.0
11 16.0
12 4.0
13 32.0
14 32.0
15 32.0
16 16.0
17 16.0
18 16.0
19 1.0
20 32.0
21 8.0
22 8.0
23 4.0
24 16.0
25 1.0
26 1.0
27 1.0
28 1.0
29 1.0
30 1.0
31 32.0
32 64.0
;
param disk := 
1 24.0
2 24.0
3 24.0
4 24.0
5 24.0
6 24.0
7 24.0
8 24.0
9 24.0
10 24.0
11 36.0
12 16.0
13 50.0
14 50.0
15 43.2
16 36.0
17 36.0
18 36.0
19 4.0
20 50.0
21 24.0
22 24.0
23 16.0
24 36.0
25 4.0
26 4.0
27 4.0
28 4.0
29 4.0
30 4.0
31 50.0
32 64.0
;
param cpu : 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 := 
1 2.380952380952381 2.380952380952381 2.0 2.0 2.272727272727273 2.272727272727273 2.0 2.0 2.380952380952381 2.380952380952381 2.0 2.0 2.380952380952381 2.380952380952381 2.0 2.0 
